SKU,Items Name,Details ,Unit,Item_Type,VAT,Max_Unit_Rate,Unit_Rate_Excl_VAT,Vat_Amnt,Final_Rate,Discount_percent,Discount_amount
25354,High Commode,Victory,Set, Supply ,10%,20465.12,18604.55,1860.45,20465,0.00%,0.12
25355,High Commode,Huida,Set, Supply ,10%,22511.63,20464.55,2046.45,22511,0.00%,0.63
25356,CABINET/PEDESTAL BASIN ,RAK,Set, Supply ,10%,4604.65,4185.45,418.55,4604,0.01%,0.65
25357,CABINET/PEDESTAL BASIN ,Victory,Set, Supply ,10%,7162.79,6510.91,651.09,7162,0.01%,0.79
25358,CABINET/PEDESTAL BASIN ,Huida,Set, Supply ,10%,7162.79,6510.91,651.09,7162,0.01%,0.79
25359,"Urinal Supply, fitting & fixing of urinal set ( Local ) of approved color with other fittings etc. complete in all respect as per design drawing and direction of Authority.",Cotto,Set, Supply ,10%,6139.53,5580.91,558.09,6139,0.01%,0.53
25360,STAINLESS STEEL SINK 20? X 40? size [single bowl single tray],"Gazi, RFL",Set, Supply ,10%,3888.37,3534.55,353.45,3888,0.01%,0.37
25361,Coat Hanger SS,Cotto,Nos, Supply ,10%,306.98,278.18,27.82,306,0.32%,0.98
25362,Coat Hanger SS,Totto,Nos, Supply ,10%,306.98,278.18,27.82,306,0.32%,0.98
25363,Wooden Door Closure,"Pacifiq, King",Nos, Supply ,10%,2148.84,1952.73,195.27,2148,0.04%,0.84
25364,"TOWEL RAIL [Local] Best quality available C.P. towel rail of 600 mm  X 20 mm size with C.P. holder, screws etc.",Standard Quality,Nos, Supply ,10%,562.79,510.91,51.09,562,0.14%,0.79
25365,Tissue Holder SS,Standard Quality,Nos, Supply ,10%,767.44,697.27,69.73,767,0.06%,0.44
25366,Tissue Holder (Plastic),Standard Quality,Nos, Supply ,10%,358.14,325.45,32.55,358,0.04%,0.14
25367,Basket Plastic,"RFL, Talukder",Nos, Supply ,10%,245.58,222.73,22.27,245,0.24%,0.58
25368,BIN (Padel) (25 Liter),Standard Quality,Nos, Supply ,10%,1125.58,1022.73,102.27,1125,0.05%,0.58
25369,BIN (Padel) (15 Liter),Standard Quality,Nos, Supply ,10%,767.44,697.27,69.73,767,0.06%,0.44
25370,Keyboard Tray -Plastic,Standard Quality,Nos, Supply ,10%,818.60,743.64,74.36,818,0.07%,0.60
25371,Tepmered Door Lock,VVP Thailand,Nos, Supply ,10%,2251.16,2046.36,204.64,2251,0.01%,0.16
25372,Tempered Door Closer,VVP Thailand,Nos, Supply ,10%,5627.91,5115.45,511.55,5627,0.02%,0.91
25373,Sliding door Lock,VVP Thailand,Nos, Supply ,10%,204.65,185.45,18.55,204,0.32%,0.65
25374,Sliding Door Wheel,VVP Thailand,Nos, Supply ,10%,163.72,148.18,14.82,163,0.44%,0.72
25375,Drawer Handle -SS,VVP Thailand,Nos, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25376,Wooden Door clousre,VVP Thailand,Nos, Supply ,10%,2558.14,2325.45,232.55,2558,0.01%,0.14
25377,"Sitkery -SS- 4""",VVP Thailand,Nos, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25378,"Sitkery -SS- 6""",VVP Thailand,Nos, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25379,"Sitkery -SS- 8""",VVP Thailand,Nos, Supply ,10%,133.02,120.91,12.09,133,0.02%,0.02
25380,"Sitkery -SS- 10""",VVP Thailand,Nos, Supply ,10%,153.49,139.09,13.91,153,0.32%,0.49
25381,"Sitkery -SS- 12""",VVP Thailand,Nos, Supply ,10%,204.65,185.45,18.55,204,0.32%,0.65
25382,Consol Cobza,VVP Thailand,Nos, Supply ,10%,102.33,92.73,9.27,102,0.32%,0.33
25383,Thread Tape,Pedrollo,Nos, Supply ,10%,25.58,22.73,2.27,25,2.27%,0.58
25384,Commode Syphone set- Plastic/SS  chain,RAK,Nos, Supply ,10%,1227.91,1115.45,111.55,1227,0.07%,0.91
25385,Commode Seat Cover,RAK,Nos, Supply ,10%,1944.19,1767.27,176.73,1944,0.01%,0.19
25386,Commode Seat Cover,Cotto,Nos, Supply ,10%,2558.14,2325.45,232.55,2558,0.01%,0.14
25387,Commode Seat Cover,Totto,Nos, Supply ,10%,2558.14,2325.45,232.55,2558,0.01%,0.14
25388,Commode seat Cover Nut,RAK,Nos, Supply ,10%,388.84,352.73,35.27,388,0.22%,0.84
25389,Liquid Soap case,Smart- Liginda,Nos, Supply ,10%,511.63,464.55,46.45,511,0.12%,0.63
25390,Angle Stop Cock Metal,"Sattar, Sharif",Nos, Supply ,10%,972.09,883.64,88.36,972,0.01%,0.09
25391,Moving Pillar Cock,"Sattar, Sharif",Nos, Supply ,10%,1330.23,1209.09,120.91,1330,0.02%,0.23
25392,Sink Cock,"Sattar, Sharif",Nos, Supply ,10%,1893.02,1720.91,172.09,1893,0.00%,0.02
25393,Bib Cock,"Sattar, Sharif",Nos, Supply ,10%,1432.56,1301.82,130.18,1432,0.04%,0.56
25394,Connection pipe,VASCO,Nos, Supply ,10%,184.19,167.27,16.73,184,0.10%,0.19
25395,Magic Pipe,China,Nos, Supply ,10%,122.79,110.91,11.09,122,0.64%,0.79
25396,Moving door Lock SS,JTC,Nos, Supply ,10%,358.14,325.45,32.55,358,0.04%,0.14
25397,Basin waste,China,Nos, Supply ,10%,665.12,604.55,60.45,665,0.02%,0.12
25398,"5? THICK BRICK WORK Brick work with 1st class bricks of one brick width [ñ5?] in cement mortar (1:4) in exterior or interior walls in/c filling the interstices with mortar, racking out joints cleaning and soaking the bricks at least for 24 hours before use and necessary scaffolding, curing at least for 7 days etc. complete in all respect as per design drawing and direction of Architect/ Authority.","1st class brick , sand, Cement -Holcim/Scan",sft, Service ,15%,156.82,135.65,20.35,156,0.52%,0.82
25399,"10? THICK BRICK WORK Brick work with 1st class bricks of one brick width [ñ10?] in cement mortar (1:4) in exterior or interior walls in/c filling the interstices with mortar, racking out joints cleaning and soaking the bricks at least for 24 hours before use and necessary scaffolding, curing at least for 7 days etc. complete in all respect as per design drawing and direction of Architect/ Authority.","1st class brick , sand, Cement -Holcim/Scan",sft, Service ,15%,182.95,158.26,23.74,182,0.52%,0.95
25400,"R.C.C  WORK [LINTEL/SLAB/WALL] Reinforced cement concrete works (1:2:4) having minimum crushing strength 18 Mpa (cylinder) at 28 days with cement, best quality coarse sand [50% quantity of best local sand (F.M.-1.5) and 50% quantity of Sylhet sand or coarse sand of equivalent (F.M.- 2.5)] picked jhama chips including breaking chips and screening, centering, shuttering, supplying polythene sheet for making shuttering leak proof, placing of rod in position, mixing the aggregates, casting in forms, compacting & curing for 15 days if possible  including the cost of reinforcement and its fabrication as per design drawing and direction of Architect/Authority.","Stone chips, sand, cement (Holcim/Scan), ROD-BSRM/KSRM/RSM/AKS",CFT, Service ,15%,261.36,226.96,34.04,261,0.14%,0.36
25401,"R.C.C  WORK [Vault & Locker] Reinforced cement concrete works (1:2:4) having minimum crushing strength 18 Mpa (cylinder) at 28 days with cement, best quality coarse sand [50% quantity of best local sand (F.M.-1.5) and 50% quantity of Sylhet sand or coarse sand of equivalent (F.M.- 2.5)] Stone Chips including screening, centering, shuttering, supplying polythene sheet for making shuttering leak proof, placing of rod in position, mixing the aggregates, casting in forms, compacting & curing for 15 days if possible  including the cost of reinforcement and its fabrication as per design drawing and direction of Architect/Authority.","Stone chips, sand, cement (Holcim/Scan), ROD-BSRM/KSRM/RSM/AKS",CFT, Service ,15%,449.55,390.43,58.57,449,0.12%,0.55
25402,"C.C WORK [Cemet concrete works] (1:2:4) with cement, best quality coarse sand [50% quantity of best local sand (F.M.-1.5) and 50% quantity of Sylhet sand or coarse sand of equivalent (F.M.- 2.5)] Stone Chips including screening, centering, shuttering, supplying polythene sheet, mixing the aggregates, casting in forms, compacting & curing for 15 days if possible  including the cost of reinforcement and its fabrication as per design drawing and direction of Architect/Authority.",Chipping & cleaning the floor before patent stone casting,sft, Service ,15%,141.14,122.61,18.39,141,0.10%,0.14
25403,"PATENT STONE Artificial stone flooring work, at all heights, 38 mm thick  in 1:2:4 using 50% coarse sand (Min F .M. 2.5) 50%  medium sand of Minimum F .M. 1.5 as fine aggregate and 1/2"" down graded brick chips as coarse aggregate including breaking the bricks into chips, screening and washing of chips and sand, compacting, conveying, placing the concrete, curing for at least 7 (seven) days etc.complete in all respect as per design drawing and direction of Architect/ Authority.","stone chips, sand, cement -Holcim/Scan",sft, Service ,15%,10.45,8.70,1.30,10,4.35%,0.45
